rank	v1	v2	entrez	symbol
689	y	y	114908	TMEM123
690	y	y	79690	GAL3ST4
691	y	y	157567	ANKRD46
692	y	y	10954	PDIA5
693	y	y	3140	MR1
694	y	y	3066	HDAC2
695	y	y	56978	PRDM8
696	y	y	6480	ST6GAL1
697	y	y	11145	PLA2G16
698	y	y	9644	SH3PXD2A
699	y	y	2799	GNS
700	y	y	84186	ZCCHC7
701	y	y	3755	KCNG1
702	y	y	10155	TRIM28
703	y	y	55350	VNN3
704	y	y	6143	RPL19
705	y	y	84705	GTPBP3
706	y	y	4318	MMP9
707	y	y	84329	HVCN1
708	y	y	3516	RBPJ
709	y	y	4216	MAP3K4
710	y	y	28232	SLCO3A1
711	y	y	10799	RPP40
712	y	y	5627	PROS1
713	y	y	27250	PDCD4
714	y	y	23092	ARHGAP26
715	y	y	4049	LTA
716	y	y	2058	EPRS
717	y	y	55824	PAG1
718	y	y	284207	METRNL
719	y	y	1432	MAPK14
720	y	y	158219	TTC39B
721	y	y	84245	MRI1
722	y	y	5351	PLOD1
723	y	y	64776	C11orf1
724	y	y	29094	LGALSL
725	y	y	51280	GOLM1
726	y	y	23076	RRP1B
727	y	y	2629	GBA
728	y	y	3674	ITGA2B
729	y	y	7705	ZNF146
730	y	y	6217	RPS16
731	y	y	57019	CIAPIN1
732	y	y	3184	HNRNPD
733	y	y	64224	HERPUD2
734	y	y	7155	TOP2B
735	y	y	4809	NHP2L1
736	y	y	1511	CTSG
737	y	y	150290	DUSP18
738	y	y	51181	DCXR
739	y	y	3148	HMGB2
740	y	y	81571	MIR600HG
741	y	y	4353	MPO
742	y	y	11168	PSIP1
743	y	y	64127	NOD2
744	y	y	79158	GNPTAB
745	y	y	5287	PIK3C2B
746	y	y	6948	TCN2
747	y	y	56941	C3orf37
748	y	y	4282	MIF
749	y	y	1912	PHC2
750	y	y	9960	USP3
751	y	y	9446	GSTO1
752	y	y	2268	FGR
753	y	y	23658	LSM5
754	y	y	6925	TCF4
755	y	y	55250	ELP2
756	y	y	5050	PAFAH1B3
757	y	y	10161	LPAR6
758	y	y	4841	NONO
759	y	y	2802	GOLGA3
760	y	y	27040	LAT
761	y	y	2306	FOXD2
762	y	y	57820	CCNB1IP1
763	y	y	8237	USP11
764	y	y	79931	TNIP3
765	y	y	30844	EHD4
766	y	y	197370	NSMCE1
767	y	y	124221	PRSS30P
768	y	y	51379	CRLF3
769	y	y	8671	SLC4A4
770	y	y	84154	RPF2
771	y	y	29914	UBIAD1
772	y	y	7414	VCL
773	y	y	5527	PPP2R5C
774	y	y	54940	OCIAD1
775	y	y	147694	ZNF548
776	y	y	3594	IL12RB1
777	y	y	4092	SMAD7
778	y	y	51134	CCDC41
779	y	y	26262	TSPAN17
780	y	y	231	AKR1B1
781	y	y	1465	CSRP1
782	y	y	307	ANXA4
783	y	y	9961	MVP
784	y	y	1050	CEBPA
785	y	y	9836	LCMT2
786	y	y	25902	MTHFD1L
787	y	y	10227	MFSD10
788	y	y	80727	TTYH3
789	y	y	5208	PFKFB2
790	y	y	9046	DOK2
791	y	y	6124	RPL4
792	y	y	9746	CLSTN3
793	y	y	57823	SLAMF7
794	y	y	11222	MRPL3
795	y	y	6947	TCN1
796	y	y	10449	ACAA2
797	y	y	5026	P2RX5
798	y	y	25780	RASGRP3
799	y	y	5636	PRPSAP2
800	y	y	145864	HAPLN3
801	y	y	1845	DUSP3
802	y	y	4670	HNRNPM
803	y	y	8664	EIF3D
804	y	y	152789	JAKMIP1
805	y	y	11031	RAB31
806	y	y	50852	TRAT1
807	y	y	84319	CMSS1
808	y	y	55692	LUC7L
809	y	y	9188	DDX21
810	y	y	1788	DNMT3A
811	y	y	79752	ZFAND1
812	y	y	84230	LRRC8C
813	y	y	51316	PLAC8
814	y	y	977	CD151
815	y	y	5243	ABCB1
816	y	y	6512	SLC1A7
817	y	y	831	CAST
818	y	y	8879	SGPL1
819	y	y	326624	RAB37
820	y	y	79590	MRPL24
821	y	y	3398	ID2
822	y	y	91937	TIMD4
823	y	y	10875	FGL2
824	y	y	79037	PVRIG
825	y	y	23127	GLT25D2
826	y	y	23569	PADI4
827	y	y	29107	NXT1
828	y	y	79161	C7orf23
829	y	y	26509	MYOF
830	y	y	8837	CFLAR
831	y	y	1847	DUSP5
832	y	y	51337	THEM6
833	y	y	53637	S1PR5
834	y	y	976	CD97
835	y	y	2162	F13A1
836	y	y	54955	C1orf109
837	y	y	124222	PAQR4
838	y	y	138151	NACC2
839	y	y	58473	PLEKHB1
840	y	y	64949	MRPS26
841	y	y	1933	EEF1B2
842	y	y	55133	SRBD1
843	y	y	57007	CXCR7
844	y	y	3932	LCK
845	y	y	22929	SEPHS1
846	y	y	29121	CLEC2D
847	y	y	7174	TPP2
848	y	y	353	APRT
849	y	y	1992	SERPINB1
850	y	y	169714	QSOX2
851	y	y	91404	SESTD1
852	y	y	1729	DIAPH1
853	y	y	5873	RAB27A
854	y	y	55031	USP47
855	y	y	9984	THOC1
856	y	y	79871	RPAP2
857	y	y	439921	MXRA7
858	y	y	79090	TRAPPC6A
859	y	y	27436	EML4
860	y	y	126231	ZNF573
861	y	y	6596	HLTF
862	y	y	152485	ZNF827
863	y	y	64764	CREB3L2
864	y	y	5329	PLAUR
865	y	y	24141	LAMP5
866	y	y	10240	MRPS31
867	y	y	25816	TNFAIP8
868	y	y	3683	ITGAL
869	y	y	353514	LILRA5
870	y	y	2288	FKBP4
871	y	y	6916	TBXAS1
872	y	y	84986	ARHGAP19
873	y	y	57128	LYRM4
874	y	y	23191	CYFIP1
875	y	y	84925	DIRC2
876	y	y	8714	ABCC3
877	y	y	28387	IGHV5-78 
878	y	y	274	BIN1
879	y	y	27350	APOBEC3C
880	y	y	26053	AUTS2
881	y	y	10632	ATP5L
882	y	y	80762	NDFIP1
883	y	y	3684	ITGAM
884	y	y	2992	GYG1
885	y	y	1731	SEPT1
886	y	y	1808	DPYSL2
887	y	y	25873	RPL36
888	y	y	6297	SALL2
889	y	y	921	CD5
890	y	y	128178	EDARADD
891	y	y	6868	ADAM17
892	y	y	8187	ZNF239
893	y	y	5001	ORC5
894	y	y	28973	MRPS18B
895	y	y	10574	CCT7
896	y	y	91574	C12orf65
897	y	y	2956	MSH6
898	y	y	8731	RNMT
899	y	y	9452	ITM2A
900	y	y	90673	PPP1R3E
901	y	y	64061	TSPYL2
902	y	y	10276	NET1
903	y	y	492311	IGIP
904	y	y	58191	CXCL16
905	y	y	56342	PPAN
906	y	y	79156	PLEKHF1
907	y	y	9804	TOMM20
908	y	y	5955	RCN2
909	y	y	140739	UBE2F
910	y	y	6224	RPS20
911	y	y	5411	PNN
912	y	y	387882	C12orf75
913	y	y	115	ADCY9
914	y	y	4927	NUP88
915	y	y	285172	FAM126B
916	y	y	3978	LIG1
917	y	y	8876	VNN1
918	y	y	1368	CPM
919	y	y	54507	ADAMTSL4
920	y	y	137872	ADHFE1
921	y	y	115825	WDFY2
922	y	y	91689	C22orf32
923	y	y	3267	AGFG1
924	y	y	57570	TRMT5
925	y	y	65983	GRAMD3
926	y	y	51747	LUC7L3
927	y	y	9314	KLF4
928	y	y	6636	SNRPF
929	y	y	84695	LOXL3
930	y	y	25849	PARM1
931	y	y	55833	UBAP2
932	y	y	84898	PLXDC2
933	y	y	1669	DEFA4
934	y	y	1545	CYP1B1
935	y	y	5092	PCBD1
936	y	y	5226	PGD
937	y	y	54663	WDR74
938	y	y	3189	HNRNPH3
